Title,Category,DRC Platform,Runtime,Genres,Director,Watch Link,IMDB,TMDB,Overview,Price (Rent),Price (Buy),TMDB Confidence
The Morter - Termination Point,Feature Films (70+ min),youtube,75,"Crime, Animation, Action, Horror, Thriller, TV Movie, War",,https://www.youtube.com/watch?v=EI3LBXynpzI,,https://www.themoviedb.org/movie/1590286,"In Manhattan, New York, an ordinary British man named Geraint Whitmore — known by many as Kinney, The Morter, or The Terminator — finds his life destr",,,
The Well,Feature Films (70+ min),,91,"Drama, Thriller",Hubert Davis,,https://www.imdb.com/title/tt29870301/,https://www.themoviedb.org/movie/1202549,"In a world where environmental collapse has left survivors to fight for the precious resources needed to survive, a young woman’s loyalties are tested",,,
The Words,Feature Films (70+ min),,83,,,,,https://www.themoviedb.org/movie/1612489,"4 years ago, rocker bad-boy Phoenix broke nerdy good-girl Lennon's heart and stole her song to escape his abusive father. Now he's a famous rockstar, ",,,
The Year: 2025,Feature Films (70+ min),,87,Documentary,,,,https://www.themoviedb.org/movie/1608263,"Robin Roberts hosts a look back at the top stories, trends and entertainment obsessions that defined the last 12 months.",,,
There is no salvation,Feature Films (70+ min),,89,"Thriller, Mystery",Namgung Geon,,,https://www.themoviedb.org/movie/1612075,,,,
Top 100 Craziest Jets Moments (2015 - 2025),Feature Films (70+ min),youtube,165,,,https://www.youtube.com/watch?v=s1BzyDUEZRc,,https://www.themoviedb.org/movie/1626776,"""Top 100 Craziest Jets Moments"" counts down the most unbelievable occurrences in Jets history since 2015. From player controversies to bizarre coachin",,,
Tracking the Wendigo,Feature Films (70+ min),filmmaker_site,103,Documentary,Jason Hewlett,https://www.smalltownmonsters.com,,https://www.themoviedb.org/movie/1624039,A history of encounters in Edmonton and British Columbia.,,,
Trevor Noah: The LOST South African Show,Feature Films (70+ min),youtube,97,Comedy,,https://www.youtube.com/watch?v=fgH-0FuwshA,,https://www.themoviedb.org/movie/1614256,Trevor Noah's first South African Special in 8 years! Filmed in Tshwane in 2023 in front of 8000+ South Africans the show takes us back into the thick,,,
TV4:s nyårskarameller 2025,Feature Films (70+ min),filmmaker_site,87,Documentary,,https://www.tv4play.se/program/a0c637cf0eac8250eaf4/tv4-s-nyarskarameller-2025,,https://www.themoviedb.org/movie/1605982,A star-studded evening from Berns in Stockholm awaits. Tilde de Paula Eby welcomes us and offers an evening of goodies from the year as well as throwb,,,
TWIN,Feature Films (70+ min),filmmaker_site,93,Thriller,Chris Stokes,https://tubitv.com/movies/100049195/twin,https://www.imdb.com/title/tt39094274/,https://www.themoviedb.org/movie/1612434,"Fresh out of prison for murder, a ruthless woman schemes to replace her twin sister and claim her flawless life by any means necessary.",,,
Untitled Home Invasion Romance,Feature Films (70+ min),,85,"Comedy, Action, Thriller, Romance",Jason Biggs,,https://www.imdb.com/title/tt33204691/,https://www.themoviedb.org/movie/1340076,"As a last-ditch attempt to save his failing marriage, an actor stages a home invasion during a romantic getaway weekend.",,,
Urban Addicts,Feature Films (70+ min),,75,Drama,장재원,,,https://www.themoviedb.org/movie/1618354,,,,
Varun Grover: Nothing Makes Sense,Feature Films (70+ min),,81,Comedy,Varun Grover,,,https://www.themoviedb.org/movie/1608545,"Varun Grover in his first-ever stand-up special, can't make sense about African Cheetahs landing in India, growing up as a Punjabi, nostalgia for the ",,,
Velvicide,Feature Films (70+ min),filmmaker_site,100,Horror,Kenneth Perkins,https://www.failsafestudios.net/,https://www.imdb.com/title/tt33317100/,https://www.themoviedb.org/movie/1626772,The two lives of a suicide hotline operator and a recently kidnapped trauma survivor collide in this tale of botched suicide and unconventional redemp,,,
Welsh Ghost Story,Feature Films (70+ min),,89,Horror,Louisa Warren,,https://www.imdb.com/title/tt34761028/,https://www.themoviedb.org/movie/1396928,"A group of students carry out an investigation into the murder of a lonely farmer, Edwyn Morris and the subsequent paranormal events that have occurre",,,
Western Simulacrum,Feature Films (70+ min),vimeo,135,"Documentary, Western, Animation",Michael Kennedy,https://vimeo.com/user109251773,,https://www.themoviedb.org/movie/1466002,"Inspired by the writings of Jean Baudrillard, this film - shot entirely within the videogame Red Dead Redemption 2 - examines people's perception of h",,,
What Happened To Maria?,Feature Films (70+ min),,100,"Crime, Drama, Thriller, Romance",Kevin Masundire,,https://www.imdb.com/title/tt36178459/,https://www.themoviedb.org/movie/1618323,"Seeking refuge from a past she can't outrun, Maria returns home. But when an unexpected connection with a gentle stranger stirs hope for something mor",,,
Whispered Voices,Feature Films (70+ min),,90,"Thriller, Horror",Abdullah Ghazanfar Ali,,,https://www.themoviedb.org/movie/1282686,Orphaned siblings Mikaeel & Jane clash over leaving home. Mikaeel's situation worsens with eerie whispers; a vengeful past resurfaces.,,,
White Prince,Feature Films (70+ min),,77,Drama,Chad Kinis,,https://www.imdb.com/title/tt39381139/,https://www.themoviedb.org/movie/1625914,"After fleeing an abusive partner, a loyal real estate finds refuge with a stranger whose quiet kindness blurs the line between friendship and intimacy",,,
Wicked of Oz,Feature Films (70+ min),,78,"Action, Fantasy, Horror",Aaron Mirtes,,https://www.imdb.com/title/tt37983272/,https://www.themoviedb.org/movie/1533549,"A freak tornado pulls Dorothy Gale into the wicked world of Oz just in time for the down-on-her-luck Kansas farm girl to confront Glinda, a starving c",,,
Ícaro: la semana en llamas,Feature Films (70+ min),,72,Documentary,Susana Alonso,,,https://www.themoviedb.org/movie/1616953,"The documentary chronicles the week the streets burned, police charged against crowds, and Barcelona experienced the five most chaotic days in its rec",,,
