Title,Category,DRC Platform,Runtime,Genres,Director,Watch Link,IMDB,TMDB,Overview,Price (Rent),Price (Buy),TMDB Confidence
Cabaret Absinthe,Feature Films (70+ min),,71,,Cosmotropia de Xam,,https://www.imdb.com/title/tt39309505/,https://www.themoviedb.org/movie/1625273,"In the Emerald City, two conjoined sisters, cabaret dancers Ligéia and Séraphine, drift between dimensions, sustained by the visions of a witch-mother",,,
Camp Blood Legacy,Feature Films (70+ min),,70,Horror,Dustin Ferguson,,,https://www.themoviedb.org/movie/1616575,"A group of college friends run into the infamous killer clown at Camp Black Tree as he slices and dices his way through them. One year later, the sole",,,
CFNY: The Spirit of Radio,Feature Films (70+ min),,86,Documentary,Matt Schichter,,https://www.imdb.com/title/tt22941170/,https://www.themoviedb.org/movie/1433492,"In 1976, CFNY launched in a small suburban house just north of Toronto and went on to become one of the most influential punk, new wave and alternativ",,,
Claim Me,Feature Films (70+ min),,70,Drama,Topel Lee,,https://www.imdb.com/title/tt39283969/,https://www.themoviedb.org/movie/1597538,Cess Garcia and VMX’s next big thing Dara Lima star in a steamy drama about two sisters and the man who sparks their sensual awakening. A female lawye,,,
Closure,Feature Films (70+ min),,105,Documentary,Michał Marczak,,https://www.imdb.com/title/tt39075417/,https://www.themoviedb.org/movie/1596319,"After his teenage son goes missing, Daniel scours the depths of the Vistula River, torn between the dread of a fatal leap and the hope that his son ma",,,
Cojo Feliz: La Peor Pluma de México,Feature Films (70+ min),,75,Comedy,Hugo 'El Cojo Feliz',,,https://www.themoviedb.org/movie/1630743,,,,
COUNTDOWN CONCERT 2025-2026 STARTO to MOVE,Feature Films (70+ min),,126,Music,,,,https://www.themoviedb.org/movie/1612969,Twelve groups from STARTO ENTERTAINMENT hold their first countdown concert at Tokyo Dome in three years.,,,
Death Cipher,Feature Films (70+ min),,95,"Thriller, Mystery",Wade Patterson,,https://www.imdb.com/title/tt32643843/,https://www.themoviedb.org/movie/1491827,A disgraced journalist makes a horrifying discovery about an online puzzle that causes people to disappear.,,,
Death Name,Feature Films (70+ min),,82,"Horror, TV Movie",Réi,,https://www.imdb.com/title/tt32213976/,https://www.themoviedb.org/movie/1471317,"A young Korean American woman yearns to learn more about her heritage, not knowing the further she digs, the more she reawakens a deadly family curse.",,,
Demon Hunters,Feature Films (70+ min),,97,"Horror, Adventure",Lance Kawas,,,https://www.themoviedb.org/movie/1612923,"In the blistering desert stands Dee's Money Pit, a strip club where sinners come to drink—and die. When two bikers cross the wrong dancers, their slau",,,
Dominik Hašek: Always the Goalie,Feature Films (70+ min),filmmaker_site,96,Documentary,Michelle Girardi Zumwalt,https://www.nhl.com/sabres/news/how-to-watch-dominik-hasek-documentary-always-the-goalie,,https://www.themoviedb.org/movie/1626428,"Dominik Hašek, Olympic gold medalist and two-time Stanley Cup-winning goaltender, looks back on his life growing up in Pardubice, Czechoslovakia. His ",,,
Dracula Eternal,Feature Films (70+ min),,85,Horror,Alan Smith,,https://www.imdb.com/title/tt36457928/,https://www.themoviedb.org/movie/1492566,"A woman's idyllic summer is shattered when her best friend falls ill, her fiancé vanishes, and she's drawn into a terrifying battle against an ancient",,,
Elalli - The Untold Story,Feature Films (70+ min),,778,,,,,https://www.themoviedb.org/movie/1631328,"Raghavendra, a small curious boy, sets out to uncover a hidden truth of a village named ""Elalli"", a small town in the coastal region of Karnataka. He ",,,
Elvis: A Life in Music,Feature Films (70+ min),,124,"Music, Documentary",Edward Pigois,,,https://www.themoviedb.org/movie/1601590,"A retrospective on the life of the legendary entertainer Elvis Presley, featuring the most significant moments of his career.",,,
Emoji - It's Complicated,Feature Films (70+ min),,109,Romance,,,,https://www.themoviedb.org/movie/1624200,"Emoji is a romance drama between Aadhav and Deeksha. Usually, couples get into fights because of misunderstandings. But this couple gets pulled away b",,,
Enemy in My House,Feature Films (70+ min),filmmaker_site,107,"Drama, Comedy, Mystery",Naytarsha Berry,https://www.parablesent.com,https://www.imdb.com/title/tt37658814/,https://www.themoviedb.org/movie/1594729,"Enemy in My House is a live-filmed stage play blending mystery, suspense, comedy, faith, and an unforgettable twist. Journalist Monique Daniels is new",,,
Every 1920s Mickey Mouse Short Film,Feature Films (70+ min),youtube,102,"Comedy, Animation, Music",Walt Disney,https://m.youtube.com/watch?v=nsEN0gkjhUM&t=1935s,,https://www.themoviedb.org/movie/1618812,"Every public domain Mickey Mouse short film from the 1920s, compiled as a single viewable feature film! From 1928-1929 (Although a couple were made in",,,
Four For One,Feature Films (70+ min),,75,"Comedy, Crime",Cody Grande,,,https://www.themoviedb.org/movie/1594247,"In this one-day dark comedy, an office worker hires assassins to get revenge after a co-worker steals credit for his promotion. Panicked, the credit t",,,
From Vienna: The New Year’s Celebration 2026,Feature Films (70+ min),,85,"Documentary, Music, TV Movie",Michael Beyer,,,https://www.themoviedb.org/movie/1608115,The famed Vienna Philharmonic rings in the New Year with its annual concert from Vienna's Musikverein conducted for the first time by Yannick Nézet-Sé,,,
"Gili: Raar, hè?!",Feature Films (70+ min),,113,Comedy,,,https://www.imdb.com/title/tt39381562/,https://www.themoviedb.org/movie/1619633,"In Raar, hè?!, comedian and mentalist Gili brings together his favorite acts full of magic, mentalism, humor, and deception into one ultimate show for",,,
goodlads,Feature Films (70+ min),,120,"Crime, Comedy",Joel Murphy,,,https://www.themoviedb.org/movie/1564355,untitled film directed by joel murphy,,,
GRAND PIANO SHOW Koncerto Filmas,Feature Films (70+ min),,106,"Documentary, Music",,,,https://www.themoviedb.org/movie/1624985,"Pianist Ieva Dūdaitė, who rewrote Lithuanian history, presents a film of her Grand Piano Show tour concert. In the film, the pianist opens the doors t",,,
GrimTrax Returns,Feature Films (70+ min),,77,Comedy,,,,https://www.themoviedb.org/movie/1622165,"Like a comet streaking across the sky with a trail of suffering, ennui, and industrial puncture wounds behind it, GrimTrax Returns! Five shorts too gr",,,
Hands,Feature Films (70+ min),,90,Action,Justin Kuhn,,https://www.imdb.com/title/tt27834186/,https://www.themoviedb.org/movie/1618569,"In a world of elite underground fighters, a couple tries to prove they are the best against a greedy rival and a merciless hired gun. They soon have t",,,
Hannah Slaughter,Feature Films (70+ min),,71,,Gwen O’Hearn,,,https://www.themoviedb.org/movie/1545606,A trans woman returns home.,,,
Have A Word: Harry Day,Feature Films (70+ min),patreon,77,"Comedy, Documentary",Will Hutchby,http://patreon.com/haveawordpod,,https://www.themoviedb.org/movie/1612829,"Have A Word's very own Make-A-Wish kid Harry is given his dream day - including body slams, head-on helmet collisions (not a euphemism) and dangerous ",,,
Honey Bunch,Feature Films (70+ min),,114,"Fantasy, Horror, Science Fiction, Thriller",Dusty Mancinelli,,https://www.imdb.com/title/tt33270103/,https://www.themoviedb.org/movie/1339173,"Diana's husband is taking her to an experimental trauma facility deep in the wilderness, but she can't remember why... As her memories begin to creep ",,,
Hooleta,Feature Films (70+ min),,90,Drama,,,,https://www.themoviedb.org/movie/1622882,"The feature film ""Hooleta"" is a painfully honest look at the mental health crisis among today's youth.  Emma - a young girl caught in the eye of a dom",,,
House Sitter,Feature Films (70+ min),,87,"Horror, Thriller",Christopher Leto,,,https://www.themoviedb.org/movie/1619765,"While house-sitting for the mysterious and wealthy Harold Finch, three friends find themselves hunted by a masked killer. As they fight to survive, ch",,,
Hunter Among Us,Feature Films (70+ min),,104,Thriller,Aadish Keluskar,,https://www.imdb.com/title/tt28289030/,https://www.themoviedb.org/movie/1032081,"A group video call unhinges when one friend threatens suicide online. Next - hijacking their feed, a masked hacker turns the group’s desperate attempt",,,
I Swiped the Wrong One,Feature Films (70+ min),filmmaker_site,92,"Romance, Comedy",Laura Irene Young,https://bsky.app/profile/iswipedthewrongone.bsky.social,https://www.imdb.com/title/tt35376053/,https://www.themoviedb.org/movie/1416636,"A typical rom-com with an atypical rom-com ending, I Swiped the Wrong One is the story of four thirtysomethings who attempt to navigate the world of 2",,,
In Cold Light,Feature Films (70+ min),,96,"Crime, Thriller",Maxime Giroux,,https://www.imdb.com/title/tt27497165/,https://www.themoviedb.org/movie/1128377,"Fresh out of prison, Ava's attempt to reclaim her drug operation collapses when she witnesses a brutal crime, forcing her to flee into a nightmarish u",,,
In the Blink of an Eye,Feature Films (70+ min),,94,"Drama, Science Fiction",Andrew Stanton,,https://www.imdb.com/title/tt6341826/,https://www.themoviedb.org/movie/1032892,"Three storylines, spanning thousands of years, intersect and reflect on hope, connection and the circle of life.",,,
In Their Own Time,Feature Films (70+ min),filmmaker_site,114,"Documentary, Drama",Sourya Dipta,https://mubi.com/en/in/films/in-their-own-time,https://www.imdb.com/title/tt31514286/,https://www.themoviedb.org/movie/1583312,"In Their Own Time is a narrative journey of three women - Srija, Tuhnu, and Jhumur, as they reflect on love, loss, childhood, friendship, and belongin",,,
Indie Author,Feature Films (70+ min),filmmaker_site,89,Documentary,Adam Grandy,https://www.kickstarter.com/projects/1529652146/indie-author-a-documentary-for-all-who-dare-to-dream,,https://www.themoviedb.org/movie/1609790,"Indie Author is a movie for the dreamers of the world. They say that if you do what you love for a living, you'll never work a day in your life. For m",,,
Into the Spiral,Feature Films (70+ min),,82,"Horror, Crime, Drama, Mystery, Thriller",Joseph Robinson,,,https://www.themoviedb.org/movie/1607468,"Tom, an ordinary guy, finds himself in a seemingly never-ending nightmare, forced to play many roles in many different fictional films—a spiral he mus",,,
Kayla,Feature Films (70+ min),,76,"Thriller, Romance, Drama",Sabree Whitfield,,https://www.imdb.com/title/tt38588741/,https://www.themoviedb.org/movie/1614921,"Discovering she's been betrayed, a scorned woman’s obsession spirals into stalking, secrets, and a twisted new romance as revenge blurs into danger.",,,
