title,year,imdb_id,tmdb_id,rt_url,digital_date,has_providers
Saint Clare,2025,,,https://www.rottentomatoes.com/search?search=Saint%20Clare%202025,2025-07-18,True
Highest 2 Lowest,2025,,,https://www.rottentomatoes.com/search?search=Highest%202%20Lowest%202025,2025-09-04,True
Madea's Destination Wedding,2025,,,https://www.rottentomatoes.com/search?search=Madea%27s%20Destination%20Wedding%202025,2025-07-10,True
Brick,2025,,,https://www.rottentomatoes.com/search?search=Brick%202025,2025-07-09,True
Kandungan,2025,,,https://www.rottentomatoes.com/search?search=Kandungan%202025,2025-07-22,True
Tehran,2025,,,https://www.rottentomatoes.com/search?search=Tehran%202025,2025-08-14,True
Trainwreck: Balloon Boy,2025,,,https://www.rottentomatoes.com/search?search=Trainwreck%3A%20Balloon%20Boy%202025,2025-07-14,True
Trainwreck: P.I. Moms,2025,,,https://www.rottentomatoes.com/search?search=Trainwreck%3A%20P.I.%20Moms%202025,2025-07-21,True
Echo Valley,2025,,,https://www.rottentomatoes.com/search?search=Echo%20Valley%202025,2025-06-12,True
Obsesyon,2025,,,https://www.rottentomatoes.com/search?search=Obsesyon%202025,2025-07-04,True
Sunday Best: The Untold Story of Ed Sullivan,2025,,,https://www.rottentomatoes.com/search?search=Sunday%20Best%3A%20The%20Untold%20Story%20of%20Ed%20Sullivan%202025,2025-07-21,True
Victoria's Silver,2025,,,https://www.rottentomatoes.com/search?search=Victoria%27s%20Silver%202025,2025-08-15,True
Lost in Starlight,2025,,,https://www.rottentomatoes.com/search?search=Lost%20in%20Starlight%202025,2025-05-29,True
Pihit,2025,,,https://www.rottentomatoes.com/search?search=Pihit%202025,2025-06-06,True
The Map That Leads to You,2025,,,https://www.rottentomatoes.com/search?search=The%20Map%20That%20Leads%20to%20You%202025,2025-08-19,True
Taandob,2025,,,https://www.rottentomatoes.com/search?search=Taandob%202025,2025-08-07,True
House on Eden,2025,,,https://www.rottentomatoes.com/search?search=House%20on%20Eden%202025,2025-08-19,True
Squid Game in Conversation,2025,,,https://www.rottentomatoes.com/search?search=Squid%20Game%20in%20Conversation%202025,2025-06-26,True
Barron's Cove,2025,,,https://www.rottentomatoes.com/search?search=Barron%27s%20Cove%202025,2025-06-06,True
Vir Das: Fool Volume,2025,,,https://www.rottentomatoes.com/search?search=Vir%20Das%3A%20Fool%20Volume%202025,2025-07-18,True
Jim Jefferies: Two Limb Policy,2025,,,https://www.rottentomatoes.com/search?search=Jim%20Jefferies%3A%20Two%20Limb%20Policy%202025,2025-08-11,True
Ultimate Mission,2025,,,https://www.rottentomatoes.com/search?search=Ultimate%20Mission%202025,2025-08-08,True
Deive Leonardo - Antes & Depois,2025,,,https://www.rottentomatoes.com/search?search=Deive%20Leonardo%20-%20Antes%20%26%20Depois%202025,2025-08-10,True
It's Worth It by Dani Rovira,2025,,,https://www.rottentomatoes.com/search?search=It%27s%20Worth%20It%20by%20Dani%20Rovira%202025,2025-07-10,True
Sipsipan,2025,,,https://www.rottentomatoes.com/search?search=Sipsipan%202025,2025-07-11,True
A Widow's Game,2025,,,https://www.rottentomatoes.com/search?search=A%20Widow%27s%20Game%202025,2025-05-29,True
Graduation Trip: Mallorca,2025,,,https://www.rottentomatoes.com/search?search=Graduation%20Trip%3A%20Mallorca%202025,2025-05-30,True
The Unholy Trinity,2025,,,https://www.rottentomatoes.com/search?search=The%20Unholy%20Trinity%202025,2025-07-07,True
Lulu Is a Rhinoceros,2025,,,https://www.rottentomatoes.com/search?search=Lulu%20Is%20a%20Rhinoceros%202025,2025-05-29,True
Sweet Revenge,2025,,,https://www.rottentomatoes.com/search?search=Sweet%20Revenge%202025,2025-08-13,True
Jaws @ 50: The Definitive Inside Story,2025,,,https://www.rottentomatoes.com/search?search=Jaws%20%40%2050%3A%20The%20Definitive%20Inside%20Story%202025,2025-07-11,True
Open,2025,,,https://www.rottentomatoes.com/search?search=Open%202025,2025-06-14,True
An Endless Wedding,2025,,,https://www.rottentomatoes.com/search?search=An%20Endless%20Wedding%202025,2025-05-30,True
Red Sonja,2025,,,https://www.rottentomatoes.com/search?search=Red%20Sonja%202025,2025-08-18,True
Sitaare Zameen Par,2025,,,https://www.rottentomatoes.com/search?search=Sitaare%20Zameen%20Par%202025,2025-08-01,True
The Kim Kardashian Diamond Heist,2025,,,https://www.rottentomatoes.com/search?search=The%20Kim%20Kardashian%20Diamond%20Heist%202025,2025-07-15,True
Death Letter Blues,2025,,,https://www.rottentomatoes.com/search?search=Death%20Letter%20Blues%202025,2025-08-08,True
Lilith Fair: Building a Mystery,2025,,,https://www.rottentomatoes.com/search?search=Lilith%20Fair%3A%20Building%20a%20Mystery%202025,2025-09-17,True
Pretty Thing,2025,,,https://www.rottentomatoes.com/search?search=Pretty%20Thing%202025,2025-07-04,True
Great White Waters,2025,,,https://www.rottentomatoes.com/search?search=Great%20White%20Waters%202025,2025-07-04,True
ドジで、タメ口で、すぐ不貞腐れるけど なんだかんだ性処理ご奉仕だけは絶対に手を抜かない 正直で実直で可愛すぎる【僕専属】気まぐれメイド,2025,,,https://www.rottentomatoes.com/search?search=%E3%83%89%E3%82%B8%E3%81%A7%E3%80%81%E3%82%BF%E3%83%A1%E5%8F%A3%E3%81%A7%E3%80%81%E3%81%99%E3%81%90%E4%B8%8D%E8%B2%9E%E8%85%90%E3%82%8C%E3%82%8B%E3%81%91%E3%81%A9%20%E3%81%AA%E3%82%93%E3%81%A0%E3%81%8B%E3%82%93%E3%81%A0%E6%80%A7%E5%87%A6%E7%90%86%E3%81%94%E5%A5%89%E4%BB%95%E3%81%A0%E3%81%91%E3%81%AF%E7%B5%B6%E5%AF%BE%E3%81%AB%E6%89%8B%E3%82%92%E6%8A%9C%E3%81%8B%E3%81%AA%E3%81%84%20%E6%AD%A3%E7%9B%B4%E3%81%A7%E5%AE%9F%E7%9B%B4%E3%81%A7%E5%8F%AF%E6%84%9B%E3%81%99%E3%81%8E%E3%82%8B%E3%80%90%E5%83%95%E5%B0%82%E5%B1%9E%E3%80%91%E6%B0%97%E3%81%BE%E3%81%90%E3%82%8C%E3%83%A1%E3%82%A4%E3%83%89%202025,2025-07-15,True
Get Off My Lawn,2025,,,https://www.rottentomatoes.com/search?search=Get%20Off%20My%20Lawn%202025,2025-07-11,True
Trianggulo,2025,,,https://www.rottentomatoes.com/search?search=Trianggulo%202025,2025-08-12,True
Apocalypse in the Tropics,2025,,,https://www.rottentomatoes.com/search?search=Apocalypse%20in%20the%20Tropics%202025,2025-07-13,True
Monster Island,2025,,,https://www.rottentomatoes.com/search?search=Monster%20Island%202025,2025-07-25,True
Netflix Tudum 2025,2025,,,https://www.rottentomatoes.com/search?search=Netflix%20Tudum%202025%202025,2025-05-31,True
Lego Disney Princess: Villains Unite,2025,,,https://www.rottentomatoes.com/search?search=Lego%20Disney%20Princess%3A%20Villains%20Unite%202025,2025-08-24,True
Jurassic World Rebirth: The Making of a New Era,2025,,,https://www.rottentomatoes.com/search?search=Jurassic%20World%20Rebirth%3A%20The%20Making%20of%20a%20New%20Era%202025,2025-06-28,True
The Thursday Murder Club,2025,,,https://www.rottentomatoes.com/search?search=The%20Thursday%20Murder%20Club%202025,2025-08-27,True
Sovereign,2025,,,https://www.rottentomatoes.com/search?search=Sovereign%202025,2025-07-11,True
Dusty Slay: Wet Heat,2025,,,https://www.rottentomatoes.com/search?search=Dusty%20Slay%3A%20Wet%20Heat%202025,2025-07-29,True
40 Acres,2025,,,https://www.rottentomatoes.com/search?search=40%20Acres%202025,2025-07-22,True
Prisoner of War,2025,,,https://www.rottentomatoes.com/search?search=Prisoner%20of%20War%202025,2025-09-19,True
Please Don't Destroy LIVE,2025,,,https://www.rottentomatoes.com/search?search=Please%20Don%27t%20Destroy%20LIVE%202025,2025-07-14,True
Tusok Tusok,2025,,,https://www.rottentomatoes.com/search?search=Tusok%20Tusok%202025,2025-07-29,True
Sarzameen,2025,,,https://www.rottentomatoes.com/search?search=Sarzameen%202025,2025-07-25,True
Bayo,2025,,,https://www.rottentomatoes.com/search?search=Bayo%202025,2025-06-24,True
"Ardisson, l'Homme en Noir : l'hommage",2025,,,https://www.rottentomatoes.com/search?search=Ardisson%2C%20l%27Homme%20en%20Noir%20%3A%20l%27hommage%202025,2025-07-15,True
The Heart Knows,2025,,,https://www.rottentomatoes.com/search?search=The%20Heart%20Knows%202025,2025-05-30,True
Trouble Man!,2025,,,https://www.rottentomatoes.com/search?search=Trouble%20Man%21%202025,2025-08-15,True
Never a Thief,2025,,,https://www.rottentomatoes.com/search?search=Never%20a%20Thief%202025,2025-07-25,True
69,2025,,,https://www.rottentomatoes.com/search?search=69%202025,2025-08-22,True
Our Times,2025,,,https://www.rottentomatoes.com/search?search=Our%20Times%202025,2025-06-10,True
Hipak,2025,,,https://www.rottentomatoes.com/search?search=Hipak%202025,2025-07-18,True
Stans,2025,,,https://www.rottentomatoes.com/search?search=Stans%202025,2025-08-25,True
Pavlov’s Dog,2025,,,https://www.rottentomatoes.com/search?search=Pavlov%E2%80%99s%20Dog%202025,2025-06-25,True
Frozen: The Hit Broadway Musical,2025,,,https://www.rottentomatoes.com/search?search=Frozen%3A%20The%20Hit%20Broadway%20Musical%202025,2025-06-20,True
Grow,2025,,,https://www.rottentomatoes.com/search?search=Grow%202025,2025-10-10,True
Titan: The OceanGate Submersible Disaster,2025,,,https://www.rottentomatoes.com/search?search=Titan%3A%20The%20OceanGate%20Submersible%20Disaster%202025,2025-06-10,True
Krypto Saves the Day!: School Bus Scuffle,2025,,,https://www.rottentomatoes.com/search?search=Krypto%20Saves%20the%20Day%21%3A%20School%20Bus%20Scuffle%202025,2025-08-13,True
Steve,2025,,,https://www.rottentomatoes.com/search?search=Steve%202025,2025-10-02,True
Mountainhead,2025,,,https://www.rottentomatoes.com/search?search=Mountainhead%202025,2025-05-30,True
Trainwreck: The Real Project X,2025,,,https://www.rottentomatoes.com/search?search=Trainwreck%3A%20The%20Real%20Project%20X%202025,2025-07-07,True
Beck 52 - The Invisible Man,2025,,,https://www.rottentomatoes.com/search?search=Beck%2052%20-%20The%20Invisible%20Man%202025,2025-06-21,True
The Plastic Men,2025,,,https://www.rottentomatoes.com/search?search=The%20Plastic%20Men%202025,2025-07-29,True
Et Tu,2025,,,https://www.rottentomatoes.com/search?search=Et%20Tu%202025,2025-07-25,True
Tributo: Francisco Cuoco,2025,,,https://www.rottentomatoes.com/search?search=Tributo%3A%20Francisco%20Cuoco%202025,2025-06-06,True
Restart,2025,,,https://www.rottentomatoes.com/search?search=Restart%202025,2025-07-25,True
Eenie Meanie,2025,,,https://www.rottentomatoes.com/search?search=Eenie%20Meanie%202025,2025-08-21,True
The Home,2025,,,https://www.rottentomatoes.com/search?search=The%20Home%202025,2025-08-22,True
